ID,Taxon used,Taxon,AgeCC,minCC,maxCC,meanCC,Taxon2,Specie1,Specie2
Salé 1,he,he,400,908.0,960.0,911.0,he,Homo erectus,Homo erectus
Sambungmacan 1 (Sambungmachan 1),he,he. hs,500,1056.3333333333333,,1056.3333333333333,he. hs,Homo erectus,Homo erectus
San Teodoro 1,hs,hs,11,1565.0,,1565.0,hs,Homo sapiens,Homo sapiens
San Teodoro 2,hs,hs,11,1569.0,,1569.0,hs,Homo sapiens,Homo sapiens
San Teodoro 3,hs,hs,11,1560.0,,1560.0,hs,Homo sapiens,Homo sapiens
San Teodoro 5,hs,hs,11,1484.0,,1484.0,hs,Homo sapiens,Homo sapiens
San Teodoro 7 (ST7),hs,hs,12,1500.0,,1500.0,hs,Homo sapiens,Homo sapiens
Sangiran 10 (Pithecanthropus V. VI; Homo erectus V. VI)(S10),he,he. pe,850,868.6,,868.6,he. pe,Homo erectus,Homo erectus
Sangiran 12 (Pithecanthropus VII. Homo erectus VII) (S12),he,he. pe,900,951.0,,951.0,he. pe,Homo erectus,Homo erectus
Sangiran 17 (Pithecanthropus VIII. Homo erectus VIII)(S17),he,he. pe,900,1020.0,,1020.0,he. pe,Homo erectus,Homo erectus
Sangiran 2 (Pithecanthropus II. Homo erectus II) (S2),he,he. pe,900,792.5714285714286,,792.5714285714286,he. pe,Homo erectus,Homo erectus
Sangiran 3 (adult) (Pithecanthropus III. Homo erectus III)(S3),he,he. pe,900,900.0,,900.0,he. pe,Homo erectus,Homo erectus
Sangiran 3 (juv) (Pithecanthropus III. Homo erectus III) (S3),he,he. pe,900,890.0,,890.0,he. pe,Homo erectus,Homo erectus
Sangiran 31 (S 31),he,he,1660,1000.0,,1000.0,he,Homo erectus,Homo erectus
Sangiran 4 (Pithecanthropus IV) (Homo erectus IV) (S4),he,he. pr,1000,856.0,,856.0,he. pr,Homo erectus,Homo erectus
Sangiran 9 (Pithecanthropus IX),he,he,1200,856.0,,856.0,he,Homo erectus,Homo erectus
Shanidar 1,n,n,50,1650.0,,1650.0,n,Neandertal,Neandertal
Shanidar 5,n,n,50,1550.0,,1550.0,n,Neandertal,Neandertal
Singa 1,n,n. hs,150,1550.0,,1550.0,n. hs,Neandertal,Neandertal
Skhul 2,hs,n. n-hs. hs,90,1300.0,,1300.0,n. n-hs. hs,Homo sapiens,Homo sapiens
Skhul 4,hs,n. n-hs. hs,90,1554.5,,1554.5,n. n-hs. hs,Homo sapiens,Homo sapiens
Skhul 5,hs,n. n-hs. hs,90,1499.5,,1499.5,n. n-hs. hs,Homo sapiens,Homo sapiens
Skhul 6 (possible confusion with Skhul 9),hs,n . n-hs. hs,90,1585.0,,1585.0,n . n-hs. hs,Homo sapiens,Homo sapiens
Skhul 9,hs,n. n-hs. hs,90,1587.3333333333333,,1587.3333333333333,n. n-hs. hs,Homo sapiens,Homo sapiens
Solo 1 . Ngandong 1,he,he. he-n,200,1121.4285714285713,,1121.4285714285713,he. he-n,Homo erectus,Homo erectus
Solo 10. Ngandong X. Ngandong 11,he,he. he-n,200,1143.0,,1143.0,he. he-n,Homo erectus,Homo erectus
Solo 10. Ngandong X. Ngandong 12,he,he. he-n,200,1075.0,,1075.0,he. he-n,Homo erectus,Homo erectus
Solo 5. Ngandong V. Ngangdong 6,he,he. he-n,200,1266.1666666666667,,1266.1666666666667,he. he-n,Homo erectus,Homo erectus
Solo 6. Ngandong VI. Ngandong 7,he,he. he-n,200,1115.7142857142858,,1115.7142857142858,he. he-n,Homo erectus,Homo erectus
Solo 9. Ngandong IX. Ngandong 10,he,he. he-n,200,1135.0,,1135.0,he. he-n,Homo erectus,Homo erectus
Spy 1,n,n,50,1471.75,,1471.75,n,Neandertal,Neandertal
Spy 1 (or Spy 2 ?),n,n,50,1429.0,,1429.0,n,Neandertal,Neandertal
Spy 2,n,n,50,1526.3333333333333,,1526.3333333333333,n,Neandertal,Neandertal
Spy 2 (or Spy 1 ?),n,n,50,1429.0,,1429.0,n,Neandertal,Neandertal
Steinheim 1,ahs,he-hs. he-n. n. ahs. hs. hhei,300,1109.076923076923,1194.5,1111.1923076923076,he-hs. he-n. n. ahs. hs. hhei,Archaic Homo sapiens,Archaic Homo sapiens
Stw 53,,,1900,460.0,680.0,570.0,early h,Australopithecus robustus,A. robustus
Stw505 (Mr Ples),aa,aa,2500,567.5833333333334,595.15,570.7333333333333,aa,Australopithecus africanus,A. africanus
Suard 1. La Chaise,n,n,151,1065.0,,1065.0,n,Neandertal,Neandertal
Subalyuk Cave (child 5-7),n,n,43,1000.0,1100.0,1050.0,n,Neandertal,Neandertal
Swanscombe 1,ahs,he-hs. he-n. n. ahs. hs,300,1305.0,,1305.0,he-hs. he-n. n. ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
TM1511,aa,aa,2000,425.0,450.0,437.5,aa,Australopithecus africanus,A. africanus
TM1517a (Kromdaai B),ar,par. ar,2000,625.0,,625.0,par. ar,Australopithecus robustus,A. robustus
Tabun C1,n,n,100,1270.5,,1270.5,n,Neandertal,Neandertal
Talgai 1,hs,hs,12,1335.0,,1335.0,hs,Homo sapiens,Homo sapiens
Taung child,aa,aa,2000,467.57142857142856,520.0,469.0,aa,Australopithecus africanus,A. africanus
Taung child (adult),aa,aa,2000,547.5714285714286,285.5,529.5,aa,Australopithecus africanus,A. africanus
Taza 1 (f),hs,hs,16,1125.0,,1125.0,hs,Homo sapiens,Homo sapiens
Tepexpan,hs,hs,10,1540.0,,1540.0,hs,Homo sapiens,Homo sapiens
Ternifine (Tighenif),ahs,ahs,750,1300.0,,1300.0,ahs,Archaic Homo sapiens,Archaic Homo sapiens
Teshik-Tash (9 year old) (Teshik-Tash),n,n,60,1495.0,,1495.0,n,Neandertal,Neandertal
Teshik-Tash (adult),n,n,60,1581.0,,1581.0,n,Neandertal,Neandertal
Trinil 2 (Pithecanthropus I. Homo erectus I),he,he. pe,900,918.7,5.0,874.1,he. pe,Homo erectus,Homo erectus
Tuinplass. (Springbok),hs,hs,15,1540.0,,1540.0,hs,Homo sapiens,Homo sapiens
Tze-Yang,hs,hs,10,1210.0,,1210.0,hs,Homo sapiens,Homo sapiens
UA 31,h,h,1000,750.0,800.0,775.0,h,Homo,Homo
Veryier 1,hs,hs,10,1430.0,,1430.0,hs,Homo sapiens,Homo sapiens
Vértesszöllös 2,ahs,he. he-n. n. ahs. hs,186,1311.5714285714287,1437.0,1334.5714285714287,he. he-n. n. ahs. hs,Archaic Homo sapiens,Archaic Homo sapiens
WLH 50 (Willandra Lakes hominid 50),hs,hs,15,1540.0,,1540.0,hs,Homo sapiens,Homo sapiens
Wadjak 1,hs,hs,15,1539.3333333333333,,1539.3333333333333,hs,Homo sapiens,Homo sapiens
Wadjak 2,hs,hs,15,1650.0,,1650.0,hs,Homo sapiens,Homo sapiens
Yunxian (EV9002 skull II),he,he,350,1100.0,,1100.0,he,Homo erectus,Homo erectus
Zhouk (XXI) (possible confusion with XII),he,he. sin pek,400,1030.0,,1030.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian (VI) (Sin VI),he,he. sin pek,300,850.0,,850.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian 101 (Up. Cave 1. Shandingdong),hs,hs,27,1500.0,,1500.0,hs,Homo sapiens,Homo sapiens
Zhoukoudian 102 (Up. Cave 2. Shandingdong),hs,hs,27,1380.0,,1380.0,hs,Homo sapiens,Homo sapiens
Zhoukoudian 103 (Up. Cave 3. Shandingdong),hs,hs,27,1295.0,,1295.0,hs,Homo sapiens,Homo sapiens
Zhoukoudian D1 (II) (Sin II),he,he. sin pek,400,1030.0,,1030.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian E1 (III) (juv) (Sin III),he,he. sin pek,550,937.5,,937.5,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian H3 (V),he,he. sin pek,400,1220.0,,1220.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian L1 (X) (Sin X),he,he. sin pek,400,1225.0,,1225.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian L2 (XI)(Sin XI),he,he. sin pek,400,1015.0,,1015.0,he. sin pek,Homo erectus,Homo erectus
Zhoukoudian L3 (XII) (Sin XII),he,he. sin pek,400,1030.0,,1030.0,he. sin pek,Homo erectus,Homo erectus
